iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"(34, 16)",None,None,"[(33, 16), (34, 15)]",[],"[(33, 16), (34, 15)]","{(34, 16)}",0,N/A,N/A
2,"(34, 15)","(34, 16)",South,"[(34, 14)]","[(33, 16)]","[(33, 16), (34, 14)]","{(34, 15), (34, 16)}",1,N/A,N/A
3,"(34, 14)","(34, 15)",South,"[(33, 14)]","[(33, 16)]","[(33, 16), (33, 14)]","{(34, 15), (34, 16), (34, 14)}",2,N/A,N/A
4,"(33, 14)","(34, 14)",West,"[(32, 14)]","[(33, 16)]","[(33, 16), (32, 14)]","{(34, 15), (34, 16), (33, 14), (34, 14)}",3,N/A,N/A
5,"(32, 14)","(33, 14)",West,"[(31, 14)]","[(33, 16)]","[(33, 16), (31, 14)]","{(32, 14), (34, 16), (34, 15), (33, 14), (34, 14)}",4,N/A,N/A
6,"(31, 14)","(32, 14)",West,"[(30, 14)]","[(33, 16)]","[(33, 16), (30, 14)]","{(31, 14), (32, 14), (34, 16), (34, 15), (33, 14), (34, 14)}",5,N/A,N/A
7,"(30, 14)","(31, 14)",West,"[(30, 13)]","[(33, 16)]","[(33, 16), (30, 13)]","{(30, 14), (31, 14), (32, 14), (34, 16), (34, 15), (33, 14), (34, 14)}",6,N/A,N/A
8,"(30, 13)","(30, 14)",South,"[(30, 12)]","[(33, 16)]","[(33, 16), (30, 12)]","{(30, 14), (31, 14), (32, 14), (30, 13), (34, 16), (34, 15), (33, 14), (34, 14)}",7,N/A,N/A
9,"(30, 12)","(30, 13)",South,"[(31, 12)]","[(33, 16)]","[(33, 16), (31, 12)]","{(30, 14), (31, 14), (32, 14), (30, 13), (34, 16), (30, 12), (34, 15), (33, 14), (34, 14)}",8,N/A,N/A
10,"(31, 12)","(30, 12)",East,"[(32, 12)]","[(33, 16)]","[(33, 16), (32, 12)]","{(30, 14), (31, 14), (32, 14), (30, 13), (34, 16), (30, 12), (34, 15), (31, 12), (33, 14), (34, 14)}",9,N/A,N/A
11,"(32, 12)","(31, 12)",East,"[(33, 12)]","[(33, 16)]","[(33, 16), (33, 12)]","{(30, 14), (31, 14), (32, 14), (30, 13), (34, 16), (30, 12), (34, 15), (31, 12), (33, 14), (32, 12), (34, 14)}",10,N/A,N/A
